Main ID,Incident ID,Region,Incident Date,Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Cause of Death,Country of Origin,Location of death,Information Source,Coordinates,Migration route,URL,UNSD Geographical Grouping,Source Quality
2023.MMP0001,2023.MMP00012,Mediterranean,"Mon, 01/02/2023 - 12:00",2023,January,,2,2,38,,2,,Western Asia (P),Drowning,Unknown,"During pushback at unidentified location near Samos, Greece. Survivors rescued by Turkish Coast Guard",IOM Türkiye,"37.69253013, 26.99162098",Eastern Mediterranean,,Uncategorized,4
2023.MMP0001,2023.MMP00013,Mediterranean,"Mon, 01/02/2023 - 12:00",2023,January,,1,1,,1,,1,Caribbean,Drowning,Haiti,"During pushback at unidentified location near Samos, Greece. Survivors rescued by Turkish Coast Guard",IOM Türkiye,"37.69253013, 26.99162098",Eastern Mediterranean,,Uncategorized,4
2023.MMP0001,2023.MMP00014,Mediterranean,"Mon, 01/02/2023 - 12:00",2023,January,,1,1,,1,,,Middle Africa,Drowning,Democratic Republic of the Congo,"During pushback at unidentified location near Samos, Greece. Survivors rescued by Turkish Coast Guard",IOM Türkiye,"37.69253013, 26.99162098",Eastern Mediterranean,,Uncategorized,4
2023.MMP0001,2023.MMP00015,Mediterranean,"Mon, 01/02/2023 - 12:00",2023,January,,1,1,,,1,,Western Africa,Drowning,Mali,"During pushback at unidentified location near Samos, Greece. Survivors rescued by Turkish Coast Guard",IOM Türkiye,"37.69253013, 26.99162098",Eastern Mediterranean,,Uncategorized,4
2023.MMP0002,2023.MMP0002,Europe,"Sun, 01/01/2023 - 12:00",2023,January,1,,1,15,,,,Unknown,Vehicle accident / death linked to hazardous transport,Unknown,"Egnatia Highway between Alexandroupolis and Komotini, Greece","Ekathimerini, Amna Greece, Infomigrants","40.95496299, 25.65250242",,"https://archive.ph/IBpVf, https://archive.ph/asx9C",Southern Europe,3
2023.MMP0003,2023.MMP0003,Mediterranean,"Tue, 01/03/2023 - 12:00",2023,January,1,,1,,,1,,Unknown,Drowning,Unknown,"Remains washed ashore near Misfat Al Zawiyah DP, Al Zawiyah, Libya",IOM Libya,"32.79178513, 12.679369",Central Mediterranean,,Uncategorized,4
2023.MMP0004,2023.MMP0004,Europe,"Thu, 01/05/2023 - 12:00",2023,January,1,,1,,,1,,Southern Asia,Sickness / lack of access to adequate healthcare,Afghanistan,"Died in Nis clinical centre, Serbia after arriving in RC Presevo with respiratory illness presumably contracted during/exacerbated by journey",IOM Serbia,"43.31568829, 21.91337329",Western Balkans,,Southern Europe,4
2023.MMP0005,2023.MMP0005,North America,"Wed, 01/04/2023 - 12:00",2023,January,1,,1,,,,,Caribbean,"Harsh environmental conditions / lack of adequate shelter, food, water",Haiti,"East of Roxham Road, 271 rang, Chem. Roxham, Saint-Bernard-de-Lacolle, QC J0J 1V0, Canadá","CBC, Vant Bèf Info (VBI)","45.0324623, -73.518841",,"https://archive.vn/Pu6T1, https://archive.vn/eizJx",Northern America,3
2023.MMP0006,2023.MMP0006,Mediterranean,"Fri, 01/06/2023 - 12:00",2023,January,5,10,15,20,,,,Sub-Saharan Africa,Drowning,Unknown,"Off the coast of La Laouata, Sfax, Tunisia","Reuters, Diwan FM","35.04940045, 11.060647",Central Mediterranean,"https://archive.vn/lxFSc, https://archive.vn/1HlbV",Uncategorized,3
2023.MMP0007,2023.MMP0007,Mediterranean,"Mon, 01/02/2023 - 12:00",2023,January,1,,1,176,,1,,Western Africa,Accidental death,Gambia,"Off Garabulli (Castelverde), Libya - embarkation from Garabulli on 1 Jan 21:00 and disembarkation at Tripoli port","IOM Libya, Foroyaa","32.84183165, 13.691316",Central Mediterranean,https://archive.ph/NqgVc#selection-2043.34-2043.49,Uncategorized,4
2023.MMP0008,2023.MMP000812,Mediterranean,"Fri, 01/06/2023 - 12:00",2023,January,2,,2,33,,1,1,Western Africa,Drowning,Côte d'Ivoire,"38 miles off the island of Lampedusa, Italy","InfoMigrants, Ansa Italy, Adnkronos","35.20457948, 12.034621",Central Mediterranean,"https://archive.vn/f5k7v, https://archive.vn/DrkLE, https://archive.vn/F7T40",Uncategorized,3
2023.MMP0008,2023.MMP000813,Mediterranean,"Fri, 01/06/2023 - 12:00",2023,January,1,,1,,1,,,Middle Africa,Drowning,Cameroon,"38 miles off the island of Lampedusa, Italy","InfoMigrants, Ansa Italy","35.20457948, 12.034621",Central Mediterranean,"https://archive.vn/f5k7v, https://archive.vn/DrkLE",Uncategorized,3
2023.MMP0009,2023.MMP0009,Western Asia,"Sat, 01/07/2023 - 12:00",2023,January,2,,2,18,,,,Southern Asia (P),Violence,Unknown,"At a police checkpoint on Van-Özalp highway, Van, Türkiye","Serhat News, Haber Turk","38.65706324, 43.9772",Iran to Türkiye,"https://archive.vn/shiHa, https://archive.vn/yOemA",Western Asia,4
2023.MMP0010,2023.MMP0010,Europe,"Tue, 01/10/2023 - 12:00",2023,January,1,,1,,,1,,Sub-Saharan Africa (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"In the Verkhnedvinsk district on the Latvian border, Belarus","State Border Committee of the Republic of Belarus Telegram, The Investigative Committee of the Republic of Belarus","56.09099932, 27.94638",Belarus-EU border,"https://archive.vn/7SHgw, https://archive.vn/jkcU3",Eastern Europe,5
2023.MMP0011,2023.MMP0011,Europe,"Tue, 01/10/2023 - 12:00",2023,January,1,,1,,,,,Unknown,"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"In the Verkhnedvinsk district on the Latvian border, Belarus","State Border Committee of the Republic of Belarus Telegram, The Investigative Committee of the Republic of Belarus","56.09099932, 27.94638",Belarus-EU border,"https://archive.vn/jkcU3, https://archive.vn/o7cD8",Eastern Europe,5
2023.MMP0012,2023.MMP0012,Europe,"Mon, 01/09/2023 - 12:00",2023,January,1,,1,,,1,,Sub-Saharan Africa (P),Accidental death,Unknown,"On the roof of a TER passenger train in Menton Garavan station, Menton, France","News.MC, 20 minutes, Nice Matin","43.78517187, 7.517308",Italy to France,"https://archive.vn/QxQP3, https://archive.vn/igvgN, https://archive.vn/0oMhn",Western Europe,3
2023.MMP0013,2023.MMP0013,Mediterranean,"Tue, 01/10/2023 - 12:00",2023,January,1,,1,,,,,Unknown,Drowning,Unknown,"Remains washed ashore at Az-Zuwaytinah (LRC Ajdabiya branch), Libya",LRC via IOM Libya,"30.95437014, 20.111182",Central Mediterranean,https://www.facebook.com/permalink.php?story_fbid=pfbid0jSMGVQ1eBxthKV1q6eaJFzPgtdJxhMzACs7dg97XYYcBFgE1i4jyDsBu16sT3UWil&id=856990297651165,Uncategorized,4
2023.MMP0014,2023.MMP0014,Mediterranean,"Wed, 01/11/2023 - 12:00",2023,January,1,,1,,,1,,Southern Asia,Drowning,Unknown,"Remains recovered off Daryanah (40km NE Benghazi), Libya",IOM Libya,"32.35375915, 20.308533",Central Mediterranean,,Uncategorized,4
2023.MMP0015,2023.MMP0015,Mediterranean,"Thu, 01/12/2023 - 12:00",2023,January,1,,1,,,,,Unknown,Drowning,Unknown,"Remains recovered off Daryanah (40km NE Benghazi), Libya",LRC via IOM Libya,"32.35375915, 20.308533",Central Mediterranean,https://www.facebook.com/crcscent.tocra/posts/pfbid0V6wA4xVcC6ycCtzSRBgA1McSZ61EP3ZcKncL3yB3U76CRUSWRZRUJm7JTweUFfR4l,Uncategorized,4
2023.MMP0016,2023.MMP0016,Mediterranean,"Thu, 01/12/2023 - 12:00",2023,January,1,,1,,,1,,Unknown,Drowning,Unknown,"Remains washed ashore at Al Mutrid beach, West Zawiyah, Libya",IOM Libya,"32.7937413, 12.617398",Central Mediterranean,,Uncategorized,4
2023.MMP0017,2023.MMP0017,Central America,"Thu, 01/05/2023 - 12:00",2023,January,1,,1,,,1,,Latin America / Caribbean (P),Drowning,Unknown,"Bravo River in Claudette Colony, Nuevo Laredo, Tamaulipas, Mexico","El Mañana, El Cinco","27.52455119, -99.525565",US-Mexico border crossing,"https://archive.ph/Az8TT, https://archive.ph/d4NwC",Central America,3
2023.MMP0018,2023.MMP0018,Central America,"Mon, 01/09/2023 - 12:00",2023,January,1,,1,,,1,,Latin America / Caribbean (P),Drowning,Unknown,"Bravo River in Las Adjuntas Colony, Piedras Negras, Coahuila de Zaragoza, Mexico",Zócalo,"28.66773682, -100.503332",US-Mexico border crossing,https://archive.ph/ei9bY,Central America,1
2023.MMP0019,2023.MMP0019,Europe,"Sat, 01/07/2023 - 12:00",2023,January,1,,1,3,,1,,Western Asia,"Harsh environmental conditions / lack of adequate shelter, food, water",Yemen,"Unspecified location in Białowieża Forest, Poland","Embassy of Yemen in Warsaw, Grupa Granica, Hope&Humanity Poland, OKO.press","52.68455073, 23.79601",Belarus-EU border,"https://archive.vn/x6IW6, https://archive.vn/Sgxg5, https://archive.vn/EQpVH, https://www.facebook.com/HopeHumanityPoland/posts/pfbid02ZY8771zh59a7uk2sUC77qfx2kMu1S6zq2fhcjn3DEa6WeZHbhZkvB1cMoNyYjzzEl",Eastern Europe,5
2023.MMP0020,2023.MMP0020,Mediterranean,"Fri, 01/13/2023 - 12:00",2023,January,1,,1,,,,,Unknown,Drowning,Unknown,"Remains washed ashore West of Brega, Libya",IOM Libya,"30.41107053, 19.570172",Central Mediterranean,,Uncategorized,4
2023.MMP0021,2023.MMP0021,Western Africa,"Sat, 01/14/2023 - 12:00",2023,January,2,,2,88,,2,,Western Africa (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Near Farol do Morro Negro, Boa Vista, Cabo Verde","InfoMigrants, Piroga, Inforpress","16.102837, -22.669137",Western Africa / Atlantic route to the Canary Islands,"https://archive.ph/y5Jok, https://archive.ph/mGvAx, https://archive.ph/mg4bE",Western Africa,4
2023.MMP0022,2023.MMP0022,North America,"Mon, 01/02/2023 - 12:00",2023,January,1,,1,,1,,,Caribbean,Sickness / lack of access to adequate healthcare,Cuba,"Fort Duncan Regional Medical Center, 3333 North Foster Maldonado Boulevard, Eagle Pass, Maverick County, Texas, 78852, United States of America","Telemundo 40, Texas Border Business, US Customs and Border Patrol","28.714334, -100.455678",US-Mexico border crossing,"https://archive.ph/LDsJz#selection-309.3-309.93, https://archive.ph/Vj8Ua, https://archive.ph/r5Q7E",Northern America,5
2023.MMP0023,2023.MMP0023,Western Asia,"Tue, 01/17/2023 - 12:00",2023,January,1,,1,35,,,,Northern Africa,Vehicle accident / death linked to hazardous transport,Morocco,"The Adana-Pozantı Highway in the Damlama district of Mersin's Tarsus district, Turkiye","Haberler, TelegrafTurk Twitter, Haber Global, Memleket, Hurriyet","37.422571, 34.876721",,"https://archive.ph/AM3FT, https://archive.ph/NDulF, https://archive.ph/03BG3, https://archive.ph/CsWio, https://archive.ph/agsnM",Western Asia,4
2023.MMP0024,2023.MMP0024,Mediterranean,"Mon, 01/16/2023 - 12:00",2023,January,1,,1,,,,,Unknown,Drowning,Unknown,"Remains washed ashore at Az-Zuwaytinah, Libya",IOM Libya,"30.95437014, 20.111182",Central Mediterranean,,Uncategorized,4
2023.MMP0025,2023.MMP0025,Mediterranean,"Mon, 01/16/2023 - 12:00",2023,January,1,,1,,,,,Unknown,Drowning,Unknown,"Remains washed ashore between Al Arasah and Bishr (10 KM West of Brega), Al Wahat, Libya",IOM Libya,"30.35064393, 19.448942",Central Mediterranean,,Uncategorized,4
2023.MMP0026,2023.MMP0026,Mediterranean,"Wed, 01/18/2023 - 12:00",2023,January,1,,1,,,1,,Unknown,Drowning,Unknown,"Remains washed ashore in İnceburun, Bodrum district, Muğla, Türkiye","DHA, Vaziyet Tweet","37.032764, 27.435176",Eastern Mediterranean,"https://archive.ph/GIKrc, https://archive.ph/BvrnJ",Western Asia,3
2023.MMP0027,2023.MMP0027,Caribbean,"Mon, 01/02/2023 - 12:00",2023,January,,2,2,,,2,,Caribbean,Drowning,Cuba,"International Waters, 72 Miles from Jamainitas Beach, Havana, Cuba",ADN Cuba,"24.429539, -82.211683",Caribbean to US,https://archive.ph/5S7tA,Caribbean,1
2023.MMP0028,2023.MMP0028,Caribbean,"Tue, 01/03/2023 - 12:00",2023,January,,25,25,,2,23,,Caribbean,Drowning,Cuba,"Martí Coastal Zone, Matanzas, Cuba","Periodico Cubano, ADN Cuba","23.046759, -80.925969",Caribbean to US,"https://archive.ph/6XvVq, https://archive.ph/vwrSW",Caribbean,3
2023.MMP0029,2023.MMP0029,Central America,"Thu, 01/12/2023 - 12:00",2023,January,1,,1,,,,1,Central America,Violence,El Salvador,"Salvador Chavarria General Hospital, Bulevar Centenario 901, Ejido Villa de Fuente, 26090 Piedras Negras, Coahuila, México","Zócalo, Super Channel 12","28.661091, -100.54084",US-Mexico border crossing,"https://archive.ph/sosQR, https://archive.ph/B481s",Central America,3
2023.MMP0030,2023.MMP0030,Central America,"Mon, 01/09/2023 - 12:00",2023,January,1,,1,,,1,,South America,Mixed or unknown,Ecuador,"Instituto Mexicano del Serguro Social Hospital, Ciudad Juárez, Chihuhua, Mexico","El Comercio Ecuador, El Diario Ecuador","31.736812, -106.509618",US-Mexico border crossing,"https://archive.ph/gwV2S, https://archive.ph/qdCdt",Central America,3
2023.MMP0031,2023.MMP0031,Caribbean,"Wed, 01/11/2023 - 12:00",2023,January,,10,10,,1,,,Caribbean,Drowning,Cuba,"Caibarén Beach, Villa Clara Province, Cuba","Periodico Cubano, ADN Cuba","22.51442, -79.453847",Caribbean to US,"https://archive.ph/gEb51, https://archive.ph/S6bH3",Caribbean,3
2023.MMP0032,2023.MMP0032,Caribbean,"Sat, 01/14/2023 - 12:00",2023,January,4,,4,,,4,,Caribbean,Drowning,Haiti,"Masacre River (natural borderline between Haiti and the Dominican Republic) Dajabón, Dominican Republic","Al Momento, 7 Días, La Informacion, El Caribe","19.660697, -71.734428",Haiti to Dominican Republic,"https://archive.ph/0S0St, https://archive.ph/Dk0uv, https://archive.ph/HvExh, https://archive.ph/xOYmG",Caribbean,3
2023.MMP0033,2023.MMP0033,Western Asia,"Wed, 01/18/2023 - 12:00",2023,January,1,,1,,,1,,Western Asia,Sickness / lack of access to adequate healthcare,Syrian Arab Republic,"On route between Chadra and Andqet, Akkar, Lebanon","Lebanon 24, Atahari News, Baladi News","34.61342591, 36.318928",,"https://archive.vn/25QZg, https://archive.vn/iJL9F, https://archive.vn/wsCzp",Western Asia,3
2023.MMP0034,2023.MMP0034,Mediterranean,"Wed, 01/25/2023 - 12:00",2023,January,2,1,3,,,2,,Northern Africa,Drowning,Morocco,"Remains washed ashore at the Port of Ceuta, Spain","EFE, La Vanguardia, El Foro de Ceuta, Al Akbahr Press","35.89431032, -5.312755",Western Mediterranean,"https://archive.ph/XhGjm, https://archive.ph/9mpzH, https://archive.ph/XHhQ3",Uncategorized,3
2023.MMP0035,2023.MMP0035,Central America,"Tue, 01/17/2023 - 12:00",2023,January,1,,1,,,1,,Latin America / Caribbean (P),Accidental death,Unknown,"International Railway Bridge, on César López de Lara Ave, Nuevo Laredo, Tamaulipas, Mexico","La Jornada, Head Topics Mexico","27.495627, -99.516229",US-Mexico border crossing,"https://archive.ph/DjDmV, https://archive.ph/ZOYKc",Central America,3
2023.MMP0036,2023.MMP0036,Central America,"Mon, 01/16/2023 - 12:00",2023,January,,1,1,,,,1,Central America,Mixed or unknown,Honduras,"Nisperos Colony, Piedras Negras, Coahuila, Mexico","Zócalo, Super Channel 12","28.701532, -100.529216",US-Mexico border crossing,"https://archive.ph/VEkHq, https://archive.ph/ayjVu",Central America,3
2023.MMP0037,2023.MMP0037,Caribbean,"Tue, 01/10/2023 - 12:00",2023,January,,13,13,,1,6,,Caribbean,Drowning,Dominican Republic,"Los Haitises National Park,Sánchez, Samaná Bay, Dominican Republic","Diario Libre, El Nuevo Diario Dominicana,Proceso Dominicana","19.139006, -69.638542",Dominican Republic to Puerto Rico,"https://archive.ph/7qkTp, https://archive.ph/4ilRk, https://archive.ph/ZyRjC",Caribbean,3
2023.MMP0038,2023.MMP0038,Caribbean,"Tue, 01/17/2023 - 12:00",2023,January,,26,26,,13,8,3,South America,Drowning,Venezuela (Bolivarian Republic of),International Waters somewhere in the Caribbean Sea between San Andres y Providencia and Bluefields Nicaragua,"Armada de Colombia, El País, La Prensa Nicaragua","12.647071, -82.891503",,"https://archive.ph/fQ9iP, https://archive.ph/Mj6H8, https://archive.ph/oL6ka",Caribbean,5
2023.MMP0039,2023.MMP0039,North America,"Thu, 01/19/2023 - 12:00",2023,January,1,,1,,,1,,Central America,Vehicle accident / death linked to hazardous transport,Guatemala,"US 277 Eagle Pass to Del Rio, Val verde County, Texas, United States of America",El Tiempo Monclova,"29.347032, -100.867173",US-Mexico border crossing,https://archive.ph/vZFX9,Northern America,1
2023.MMP0040,2023.MMP0040,Central America,"Mon, 01/23/2023 - 12:00",2023,January,1,,1,,,1,,Central America,Violence,Mexico,"Uninhabited place between Allende and Villa Union, Zona Centro Piedras Negras Coahuila,Mexico","Zócalo, Super Channel 12, Periodico La Voz","28.702423, -100.516284",US-Mexico border crossing,"https://archive.ph/OP167, https://archive.ph/pcHHL, https://archive.ph/blnuo",Central America,3
2023.MMP0041,2023.MMP0041,Central America,"Mon, 01/23/2023 - 12:00",2023,January,2,,2,,,2,,Caribbean,Violence,Cuba,"La Silla Hotel,Calle Juan Méndez Nte 1518, Sarabia, 64490 Monterrey, Nuevo Leon, Mexico","Cibercuba, Telediario","25.688443, -100.314975",US-Mexico border crossing,"https://archive.ph/JjZZi, https://archive.ph/gyGxR",Central America,3
2023.MMP0042,2023.MMP0042,Mediterranean,"Wed, 01/25/2023 - 12:00",2023,January,,4,4,95,,,,Sub-Saharan Africa (P),Drowning,Unknown,"Approximately 50 km NE of Tripoli, Libya",SOS Mediterranee,"33.578333, 14.041667",Central Mediterranean,https://archive.ph/GF6Rc,Uncategorized,4
2023.MMP0043,2023.MMP0043,Caribbean,"Mon, 01/23/2023 - 12:00",2023,January,5,10,15,11,1,,,Caribbean,Drowning,Cuba,"Off the coast of Cardenas, near Cayo Cruz de Padre, Cuba","Cibercuba, Journal de Brasilia, Radio Ciudad Badera, Guardian, ADN Cuba","23.269464, -80.880242",Caribbean to US,"https://archive.ph/ZUDQU, https://archive.ph/fIOh2, https://archive.ph/3WN53, https://archive.ph/g66K3, https://archive.ph/UxSTJ",Caribbean,4
2023.MMP0044,2023.MMP0044,Mediterranean,"Sun, 01/29/2023 - 12:00",2023,January,,13,13,24,,,,Sub-Saharan Africa,Drowning,Unknown,"Off the coast of La Louata, Sfax, Tunisisa",Tunisian Guarde Nationale Maritime statement,"35.051199, 10.999545",Central Mediterranean,https://archive.ph/OF2cF,Uncategorized,5
2023.MMP0045,2023.MMP0045,Europe,"Thu, 01/19/2023 - 12:00",2023,January,1,,1,,,1,,Western Asia,"Harsh environmental conditions / lack of adequate shelter, food, water",Yemen,Unspecified location on the Belarus-Poland border,"Middle East Monitor, Ministry of Foreign Affairs Yemen facebook post, Grupa Granica","51.762542, 23.594236",Belarus-EU border,"https://archive.ph/7OA3l, https://www.facebook.com/mofa.gov.ye/posts/pfbid037BxNVWSb7cA5RFLBQrX5vd4v58fve9rxobLDaxQMhm6y23qPM52vdweRqn6ZmpMVl",Eastern Europe,5
2023.MMP0046,2023.MMP0046,Europe,"Thu, 01/12/2023 - 12:00",2023,January,,1,1,,,,,Western Asia (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,Unspecified location in the wetlands of Eastern Poland the Belarus-Poland border,"InfoMigrants, Reuters, Yemen Embassy in Germany facebook post","52.096721, 23.593233",Belarus-EU border,"https://archive.ph/HwHaQ, https://archive.ph/AGLIP, https://www.facebook.com/permalink.php?story_fbid=pfbid02syJMmYZc7reYByP8N1718tERL8kQAfDnMTwYdRg8Mp2pCYRaqxm43eBD1M5mQCJSl&id=100066361099133",Eastern Europe,5
2023.MMP0047,2023.MMP0047,Europe,"Fri, 01/13/2023 - 12:00",2023,January,,1,1,,,,,Western Asia (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,Unspecified location in the wetlands of Eastern Poland the Belarus-Poland border,"InfoMigrants, Reuters, Yemen Embassy in Germany facebook post","52.096721, 23.593233",Belarus-EU border,"https://archive.ph/HwHaQ, https://archive.ph/AGLIP, https://www.facebook.com/permalink.php?story_fbid=pfbid02syJMmYZc7reYByP8N1718tERL8kQAfDnMTwYdRg8Mp2pCYRaqxm43eBD1M5mQCJSl&id=100066361099133",Eastern Europe,5
2023.MMP0048,2023.MMP0048,Mediterranean,"Tue, 01/24/2023 - 12:00",2023,January,3,3,6,92,,3,,Western Africa,Drowning,Gambia,"60 km East of Tripoli, Libya, off the coast of Garabulli (Castelverde), Libya","IOM Libya, Libya RC tweet, AP, Libyan Red Cresent, Info Migrants","32.902656, 13.737635",Central Mediterranean,"https://archive.ph/lTF7F, https://archive.ph/qWThv, https://archive.ph/zTt8F",Uncategorized,5
2023.MMP0048,2023.MMP004855,Mediterranean,"Tue, 01/24/2023 - 12:00",2023,January,2,,2,,,2,,Northern Africa,Drowning,Sudan,"60 km East of Tripoli, Libya, off the coast of Garabulli (Castelverde), Libya","IOM Libya, Libya RC tweet, AP, Libyan Red Cresent, Info Migrants","32.902656, 13.737635",Central Mediterranean,"https://archive.ph/lTF7F, https://archive.ph/qWThv, https://archive.ph/zTt8F",Uncategorized,5
