Main ID,Incident ID,Region,Incident Date,Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Cause of Death,Country of Origin,Location of death,Information Source,Coordinates,Migration route,URL,UNSD Geographical Grouping,Source Quality
2023.MMP0142,2023.MMP0142,Eastern Africa,"Sat, 03/11/2023 - 12:00",2023,March,34,,34,23,,,,Eastern Africa,Drowning,Madagascar,"Off the coast of Ankazomborona, Madagascar","Malagasy President Andry Rajoelina, IOM Madagascar, Reuters, Ouest France","-14.65793343, 46.069117",,"https://archive.ph/aVsuC, https://archive.ph/drZnZ, https://www.facebook.com/story.php?story_fbid=pfbid03UwpBvZsZA5rF3g3pz9EL8BnWfirn8waQ9BkWgbLJSUYEQPFh9zL2Pdn3LZpudkDl&id=100044483467538&mibextid=Nif5oz",Eastern Africa,5
2023.MMP0143,2023.MMP0143,Mediterranean,"Sun, 03/12/2023 - 12:00",2023,March,,30,30,17,,,,Unknown,Drowning,Unknown,"Off the coast of Libya, en route to Italy (see coordinates for last known location)","Alarm Phone, Sea Watch","33.56, 18.28",Central Mediterranean,"https://archive.ph/nOI0S, https://archive.ph/nvZWw",Uncategorized,4
2023.MMP0144,2023.MMP0144,Europe,"Sun, 03/12/2023 - 12:00",2023,March,1,,1,,,1,,Southern Asia,Mixed or unknown,Afghanistan,"Unspecified swampy area near Bialowieza, Poland","IOM Poland, Grupa Granica, Wyborcza","52.72529128, 23.897644",Belarus-EU border,"https://archive.ph/XcFyw, https://archive.ph/ZhZzU",Eastern Europe,4
2023.MMP0145,2023.MMP0145,Northern Africa,"Wed, 03/08/2023 - 12:00",2023,March,12,,12,9,2,10,,Unknown,Vehicle accident / death linked to hazardous transport,Unknown,"Al Tite, Dongola, Sudan","Sudan Humanitarian Commission (HAC), IOM Sudan","18.84882028, 30.473198",,,Northern Africa,5
2023.MMP0146,2023.MMP0146,North America,"Fri, 02/17/2023 - 12:00",2023,February,,2,2,,1,1,,Unknown,"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Miller Peak near Sierra Vista, Cochise County, Arizona, USA",United States Homeland Security Investigations,"31.39624829, -110.293716",US-Mexico border crossing,,Northern America,5
2023.MMP0147,2023.MMP0147,Northern Africa,"Thu, 03/16/2023 - 12:00",2023,March,8,,8,40,,,,Sub-Saharan Africa (P),Vehicle accident / death linked to hazardous transport,Unknown,"Al Mardom, Bani Walid, Libya",IOM Libya,"31.77950151, 14.055366",,,Northern Africa,4
2023.MMP0148,2023.MMP0148,Mediterranean,"Sun, 03/05/2023 - 12:00",2023,March,1,1,2,,,,3,Northern Africa,Drowning,Morocco,Unspecified location in Alboran Sea - attempted to swim to Ceuta,"Anbae TV, El Faro del Ceuta","35.8373438, -5.238125",Western Mediterranean,"https://archive.vn/kUwzz, https://archive.vn/Z1bkK",Uncategorized,3
2023.MMP0149,2023.MMP0149,Western Asia,"Thu, 03/02/2023 - 12:00",2023,March,1,,1,,,1,,Southern Asia,Drowning,Afghanistan,"Unspecified location in Meriç River, Meriç region, Türkiye",Meriç Gendarmerie and Edirne PDMM via IOM Türkiye,"41.20184031, 26.318883",Türkiye-Europe land route,,Western Asia,5
2023.MMP0150,2023.MMP0150,Western Asia,"Sat, 03/04/2023 - 12:00",2023,March,1,,1,,,1,,Western Asia,Violence,Syrian Arab Republic,"Unspecified location in  Meriç region, Türkiye",Turkish National Police and Edirne PDMM via IOM Türkiye,"41.20184031, 26.318883",Türkiye-Europe land route,,Western Asia,5
2023.MMP0151,2023.MMP0151185,North America,"Sun, 03/12/2023 - 12:00",2023,March,1,,1,,,,,Latin America / Caribbean (P),Drowning,Unknown,"Bodies found along Black's Beach, San Diego, California, USA after reported capsize of two boats. No survivors found.","CNN, BBC, La Jolla Light, Los Angeles Times, Politico","32.89147055, -117.253494",US-Mexico border crossing,"https://archive.ph/4IkEN, https://archive.ph/geixW, https://archive.ph/nzSqz, https://archive.ph/R4fSQ",Northern America,3
2023.MMP0151,2023.MMP0151186,North America,"Sun, 03/12/2023 - 12:00",2023,March,7,,7,,2,1,,Central America,Drowning,Mexico,"Bodies found along Black's Beach, San Diego, California, USA after reported capsize of two boats. No survivors found.","CNN, BBC, La Jolla Light, Los Angeles Times, Politico","32.89147055, -117.253494",US-Mexico border crossing,"https://archive.ph/4IkEN, https://archive.ph/geixW, https://archive.ph/nzSqz, https://archive.ph/R4fSQ",Northern America,3
2023.MMP0152,2023.MMP0152187,Mediterranean,"Tue, 03/14/2023 - 12:00",2023,March,2,,2,,2,,,Western Africa,Drowning,Liberia,"Off the coast of Kuşadası, Aydın, Türkiye",Turkish Coast Guard,"37.82357274, 27.181334",Eastern Mediterranean,https://archive.ph/NmLoN,Uncategorized,5
2023.MMP0152,2023.MMP0152188,Mediterranean,"Tue, 03/14/2023 - 12:00",2023,March,1,,1,,,1,,Eastern Africa,Drowning,Somalia,"Off the coast of Kuşadası, Aydın, Türkiye",Turkish Coast Guard,"37.82357274, 27.181334",Eastern Mediterranean,https://archive.ph/NmLoN,Uncategorized,5
2023.MMP0152,2023.MMP0152189,Mediterranean,"Tue, 03/14/2023 - 12:00",2023,March,1,,1,,1,,,Middle Africa,Drowning,Democratic Republic of the Congo,"Off the coast of Kuşadası, Aydın, Türkiye",Turkish Coast Guard,"37.82357274, 27.181334",Eastern Mediterranean,https://archive.ph/NmLoN,Uncategorized,5
2023.MMP0153,2023.MMP0153,Central America,"Thu, 02/16/2023 - 12:00",2023,February,4,,4,,,,,South America,Mixed or unknown,Venezuela (Bolivarian Republic of),"Boca de Marragantí River, Comarca Emberá-Cémaco, Darien National Park, Panama",Sistema Económico Latinoamericano y del Caribe (SELA),"8.467987877, -77.691324",Darien,https://archive.ph/iCYRT,Central America,4
2023.MMP0154,2023.MMP0154,North America,"Sun, 03/12/2023 - 12:00",2023,March,8,,8,25,,,,Latin America / Caribbean (P),Drowning,Unknown,"Black's Beach,San Diego, San Diego County, California, United States of America","Homeland Security Task Force-Southeast(HSTF-SE),NBC15 News,Fox News,New York Post,Zócalo","32.89096482, -117.25352",US-Mexico border crossing,"https://archive.ph/Uz40w, https://archive.ph/5NSBL, https://archive.ph/rANRo, https://archive.ph/wtR1O, https://archive.ph/xww2v",Northern America,5
2023.MMP0155,2023.MMP0155,Caribbean,"Sun, 03/12/2023 - 12:00",2023,March,3,,3,12,2,1,,Caribbean,Drowning,Dominican Republic,"Canal de la Mona, Caribbean international waters close to the coasts of Puerto Rico, United States of America","Proceso, Al Momento,CDN Dominicana,FV Digital.DO,Zona Este, El Caribe","18.50413029, -67.998914",Dominican Republic to Puerto Rico,"https://archive.ph/lKwQw, https://archive.ph/nPQRU, https://archive.ph/c6vGC, https://archive.ph/RDPj2, https://archive.ph/5u9xp, https://archive.ph/pqItl",Caribbean,3
2023.MMP0156,2023.MMP0156,Central America,"Thu, 03/09/2023 - 12:00",2023,March,1,,1,,,1,,Latin America / Caribbean (P),Accidental death,Unknown,"Near the Border Wall near Anapra/Sunland Park,Doña Ana County, New Mexico, United States of America",El Diario MX,"31.78439509, -106.564231",US-Mexico border crossing,https://archive.ph/ko8Lt,Northern America,1
2023.MMP0158,2023.MMP0158195,Central America,"Tue, 01/24/2023 - 12:00",2023,January,1,,1,,,1,,Central America,Violence,El Salvador,"Remains found near Colonia 16 de Setiembre, Ciudad Juarez, Chihuahua, Mexico",Univision,"31.72489081, -106.516119",US-Mexico border crossing,https://archive.ph/lrNMa,Central America,1
2023.MMP0158,2023.MMP0158196,Central America,"Tue, 01/24/2023 - 12:00",2023,January,1,,1,,1,,,Central America,Violence,Nicaragua,"Remains found near Colonia 16 de Setiembre, Ciudad Juarez, Chihuahua, Mexico",Univision,"31.72489081, -106.516119",US-Mexico border crossing,https://archive.ph/lrNMa,Central America,1
2023.MMP0158,2023.MMP0158197,Central America,"Tue, 01/24/2023 - 12:00",2023,January,2,,2,,1,1,,Central America,Violence,Guatemala,"Remains found near Colonia 16 de Setiembre, Ciudad Juarez, Chihuahua, Mexico",Univision,"31.72489081, -106.516119",US-Mexico border crossing,https://archive.ph/lrNMa,Central America,1
2023.MMP0158,2023.MMP0158198,Central America,"Tue, 01/24/2023 - 12:00",2023,January,,1,1,,,1,,Central America,Violence,Mexico,"Remains found near Colonia 16 de Setiembre, Ciudad Juarez, Chihuahua, Mexico",Univision,"31.72489081, -106.516119",US-Mexico border crossing,https://archive.ph/lrNMa,Central America,1
2023.MMP0160,2023.MMP0160,Central America,"Mon, 03/13/2023 - 12:00",2023,March,3,,3,,1,2,,South America,Vehicle accident / death linked to hazardous transport,Venezuela (Bolivarian Republic of),"Kilometer 10 plus 900, on the elevated bridge of the North Beltway,Ciudad Hidalgo, Chiapas, Mexico","Zócalo, Noticias en la Mira, La Opinion Venezuela","14.70032338, -92.156176",,"https://archive.ph/nlorX, https://archive.ph/5jqbO, https://archive.ph/9t4eA",Central America,3
2023.MMP0161,2023.MMP0161,South America,"Thu, 03/09/2023 - 12:00",2023,March,1,,1,,,1,,South America,Violence,Venezuela (Bolivarian Republic of),"Residential Area Santa Luisa de San Martin de Porres, Lima, Peru",Caraota Digital Venezuela,"-11.9498779, -77.066199",,https://archive.ph/eHnh3,South America,1
2023.MMP0162,2023.MMP0162,Central America,"Sun, 03/12/2023 - 12:00",2023,March,1,,1,,,1,,Latin America / Caribbean (P),Accidental death,Unknown,"Ferromex Company Properties, Calle Decima Octava, Braulio Fernández Aguirre, Torreón, Coahuila, México","El Mañana, Milenio","25.51138765, -103.425787",,"https://archive.ph/rcOvq, https://archive.ph/BYZxc",Central America,3
2023.MMP0163,2023.MMP0163,Southern Asia,"Sat, 03/11/2023 - 12:00",2023,March,11,,11,,,,,Southern Asia,Violence,Afghanistan,"At the Afghani border, Sistan and Baluchestan, Islamic Republic of Iran","Iran Wire, Iran International, The Print","31.15671019, 61.794163",Afghanistan to Iran,"https://archive.vn/4D07i, https://archive.vn/lb7uL, https://archive.vn/993e7",Southern Asia,3
2023.MMP0164,2023.MMP0164,Mediterranean,"Fri, 03/03/2023 - 12:00",2023,March,25,4,29,7,3,4,3,Western Asia,Drowning,Syrian Arab Republic,"Off Tobruk, Libya - embarkation from Kambut, Libya","Alarm Phone, Violations Documentation Center in Syria (VDS-NS), North Press Syria","32.12385825, 24.235389",Central Mediterranean,"https://archive.vn/BBowK, https://archive.vn/HlcRu",Uncategorized,4
2023.MMP0165,2023.MMP0165,Mediterranean,"Mon, 03/20/2023 - 12:00",2023,March,9,8,17,2,,2,3,Northern Africa,Drowning,Algeria,"Off Zakour beach between Tamalous and Kerkera, Skikda, Algeria","Skikda Protection Civile via Akhbar Elwatane, Radio M, Echorouk Online, Al Masdar, Elikaa Online, InfoMigrants","36.95763173, 6.691846",Central Mediterranean,"https://fb.watch/jojDNS2A8f/, https://archive.vn/jUh5J, https://archive.vn/uPD0Q, https://archive.vn/v69BQ, https://archive.vn/wip/KIpLy, https://archive.vn/hpxJi",Uncategorized,5
2023.MMP0166,2023.MMP0166,Europe,"Thu, 03/09/2023 - 12:00",2023,March,1,,1,2,,1,,Southern Asia,"Harsh environmental conditions / lack of adequate shelter, food, water",Afghanistan,"Unspecified location near the Latvian border, Belarus",Belarus Border Committee,"55.71902599, 26.88135",Belarus-EU border,https://archive.vn/o8jiK,Eastern Europe,5
2023.MMP0167,2023.MMP0167,Europe,"Mon, 03/13/2023 - 12:00",2023,March,1,,1,,,,,Unknown,"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Unspecified location near the Latvian border in Braslaw district, Belarus",Belarus Border Committee,"55.6957828, 26.828867",Belarus-EU border,https://archive.vn/Lb6gb,Eastern Europe,5
2023.MMP0168,2023.MMP0168,Europe,"Mon, 03/20/2023 - 12:00",2023,March,1,,1,15,,1,,Southern Asia,Vehicle accident / death linked to hazardous transport,Afghanistan,"near Aldomirovo swamp, Dragoman, Sofia, Bulgaria","Novinite, BNR","42.91895731, 22.942982",Western Balkans,"https://archive.vn/HMN4Z, https://archive.vn/hNdE5",Eastern Europe,3
2023.MMP0169,2023.MMP0169,Mediterranean,"Thu, 03/23/2023 - 12:00",2023,March,9,24,33,5,,2,5,Western Africa (P),Drowning,Unknown,"Off La Louza, Sfax, Tunisia","Tunisian Garde Nationale, Alarm Phone, FTDES via France 24, Imed Soltani","35.02139032, 11.043064",Central Mediterranean,"https://archive.vn/oEqI5, https://archive.vn/Cibcq, https://archive.vn/xY3l1, https://www.facebook.com/100004008484825/videos/940074477180070/",Uncategorized,5
2023.MMP0170,2023.MMP0170,North America,"Mon, 02/20/2023 - 12:00",2023,February,1,,1,,,1,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,"Otay Mountain Wilderness, Dulzura, San Diego County, California, United States of America",Telemundo 44,"32.59603368, -116.838996",US-Mexico border crossing,https://archive.ph/FIwZi,Northern America,1
2023.MMP0171,2023.MMP0171,Central America,"Mon, 03/20/2023 - 12:00",2023,March,1,,1,,,1,,Latin America / Caribbean (P),Violence,Unknown,"Unspecified location near Turquesa River, Comarca Emberá-Cémaco, Darien National Park","EFE, Minuto 30","8.480785482, -77.583226",Darien,https://archive.ph/I0CiR,Central America,1
2023.MMP0172,2023.MMP0172,Central America,"Mon, 03/20/2023 - 12:00",2023,March,2,,2,,,2,,Latin America / Caribbean (P),Mixed or unknown,Unknown,"Unspecified location near Turquesa River, Comarca Emberá-Cémaco, Darien National Park","EFE, Minuto 30","8.480785482, -77.583226",Darien,https://archive.ph/I0CiR,Central America,1
2023.MMP0173,2023.MMP0173,Central America,"Mon, 03/20/2023 - 12:00",2023,March,1,,1,,,,1,Latin America / Caribbean (P),Mixed or unknown,Unknown,"Unspecified location near Turquesa River, Comarca Emberá-Cémaco, Darien National Park","EFE, Minuto 30","8.480785482, -77.583226",Darien,https://archive.ph/I0CiR,Central America,1
2023.MMP0174,2023.MMP0174,Northern Africa,"Tue, 03/21/2023 - 12:00",2023,March,12,26,38,9,1,,,Sub-Saharan Africa (P),Drowning,Unknown,"Off Al Argoub, Southeast Dakhla, Western Sahara","Assahraoui, Dakhla News","23.6210123, -15.883634",Western Africa / Atlantic route to the Canary Islands,"https://archive.vn/jbPV8, https://archive.vn/Gv37b",Uncategorized,3
2023.MMP0175,2023.MMP0175,Europe,"Tue, 03/21/2023 - 12:00",2023,March,1,,1,,,1,,Southern Asia,"Harsh environmental conditions / lack of adequate shelter, food, water",Afghanistan,"Unspecified location in the Białowieża National Park, Zamosze, Poland","Podlasie Police, Polskie Radio Bialystok, Polsat News","52.81520614, 23.911705",Belarus-EU border,"https://archive.vn/xOate, https://archive.vn/VbVAt, https://archive.vn/D38xo",Eastern Europe,5
2023.MMP0176,2023.MMP0176,Mediterranean,"Sat, 03/25/2023 - 12:00",2023,March,2,,2,76,,2,,Southern Asia,Drowning,Pakistan,"Off Zuwara, Libya - embarkation from Zuwara 24 Mar 22:00",IOM Libya,"33.01660256, 12.128132",Central Mediterranean,,Uncategorized,4
2023.MMP0177,2023.MMP0177,Mediterranean,"Sat, 03/25/2023 - 12:00",2023,March,8,,8,11,,,,Sub-Saharan Africa,Drowning,Unknown,"Off Mahdia, Tunisia",Tunisian Garde Nationale Maritime,"35.50054684, 11.119404",Central Mediterranean,https://www.facebook.com/526474747861290/photos/a.529889570853141/1582053405636747/,Uncategorized,5
2023.MMP0178,2023.MMP0178,Mediterranean,"Sat, 03/25/2023 - 12:00",2023,March,19,,19,,,,,Sub-Saharan Africa (P),Drowning,Unknown,Unspecified location in the Mediterrenean 36 miles off Tunisian coasts,Tunisian Garde Nationale Maritime,"35.40740084, 11.674661",Central Mediterranean,https://www.facebook.com/526474747861290/photos/a.529889570853141/1582053405636747/,Uncategorized,5
2023.MMP0179,2023.MMP0179,Mediterranean,"Sat, 03/25/2023 - 12:00",2023,March,2,,2,,,,,Sub-Saharan Africa (P),Drowning,Unknown,"Off Sfax, Tunisia - embarkation from Jebiniana, Sfax, Tunisia",Tunisian Garde Nationale Maritime,"34.97693453, 11.083634",Central Mediterranean,https://www.facebook.com/526474747861290/photos/a.529889570853141/1582053405636747/,Uncategorized,5
2023.MMP0180,2023.MMP0180,Europe,"Fri, 03/24/2023 - 12:00",2023,March,1,,1,,,1,,Unknown,"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Unspecified location in the Białowieża National Park, near the Hwoźna River, Poland","Grupa Garnica, Podlaskie Ochotnicze Pogotowie Humanitarne (POPH), TVN24","52.76905161, 23.881466",Belarus-EU border,"https://archive.ph/kLfAn, https://archive.ph/MiMxL",Eastern Europe,4
2023.MMP0181,2023.MMP0181,North America,"Sat, 02/11/2023 - 12:00",2023,February,1,,1,,,1,,Central America,Vehicle accident / death linked to hazardous transport,Mexico,"Mile Marker 311,I-10, Tucson, Pima County, Arizona, United States of America",US Border Patrol,"32.17263448, -110.93589",US-Mexico border crossing,https://archive.ph/rRiK6,Northern America,5
2023.MMP0182,2023.MMP0182,North America,"Fri, 03/24/2023 - 12:00",2023,March,2,,2,17,,2,,Central America,Vehicle accident / death linked to hazardous transport,Honduras,"Near Knippa, about 113 kilometers west of San Antonio, Uvalde County, Texas, United States of America","El Heraldo Honduras, Los Angeles Times, Reuters","29.45442775, -98.741613",US-Mexico border crossing,"https://archive.ph/7aw2y, https://archive.ph/l4wgC, https://archive.ph/P5LCR",Northern America,3
2023.MMP0183,2023.MMP0183,North America,"Sat, 03/25/2023 - 12:00",2023,March,1,,1,11,,1,,Central America,Vehicle accident / death linked to hazardous transport,Mexico,"Union Pacific Railyard, 1205 Sherman, San Antonio, Bexar County, Texas, United States of America","Consulado de México en Eagle Pass Texas, Telemundo San Antonio, Zócalo, Univision","29.4343026, -98.461267",US-Mexico border crossing,"https://archive.ph/0BPT2, https://archive.ph/C3Pv4, https://archive.ph/4MtWO, https://archive.ph/6RNYc",Northern America,5
2023.MMP0184,2023.MMP0184,Central America,"Fri, 03/24/2023 - 12:00",2023,March,1,,1,,,,1,Latin America / Caribbean (P),Drowning,Unknown,"Rio Bravo, Piedras Negras, Coahuila, Mexico","Noticias Telemundo, Yahoo News","28.71027392, -100.510292",US-Mexico border crossing,"https://archive.ph/CUECJ, https://archive.ph/YdMOi",Central America,3
2023.MMP0185,2023.MMP0185,Caribbean,"Mon, 03/20/2023 - 12:00",2023,March,,1,1,28,,1,,Caribbean,Drowning,Cuba,"Around 6 miles south of Key West, Florida, USA","US Coast Guard, Diario de Cuba","24.158936, -82.004004",Caribbean to US,"https://archive.ph/yGtDL, https://archive.ph/TKpHa",Uncategorized,5
2023.MMP0186,2023.MMP0186,Eastern Africa,"Tue, 03/28/2023 - 12:00",2023,March,11,,11,20,,,,Eastern Africa,Vehicle accident / death linked to hazardous transport,Ethiopia,"Near Bosaso, Somalia",IOM Somalia,"11.2316109, 49.198796",,https://archive.ph/Ypfxn,Eastern Africa,4
2023.MMP0187,2023.MMP0187,Caribbean,"Tue, 03/28/2023 - 12:00",2023,March,3,13,16,16,,,,Unknown,Drowning,Unknown,Off the coast of St Kitts - They departed from Antigua and were on their way to the US Virgin Islands.,Associated Press,"17.22455007, -62.246245",Caribbean to US,https://archive.ph/OZmw6,Caribbean,1
2023.MMP0188,2023.MMP0188,Mediterranean,"Thu, 03/23/2023 - 12:00",2023,March,1,,1,,,1,,Western Africa,Drowning,Guinea,"50 meters off the coast of Benitez Beach, Ceuta, Spain","Europa Press, La Verdad de Ceuta, EFE","35.8943104, -5.335607",Western Mediterranean,"https://archive.ph/tyZme, https://archive.ph/BBynq",Uncategorized,3
2023.MMP0189,2023.MMP0189,Mediterranean,"Fri, 03/24/2023 - 12:00",2023,March,2,,2,,,2,,Unknown,Drowning,Unknown,"Remains recovered at sea by comercial boats off the coast of Denia, Alicante, Spain","El Pais, La Vanguardia","38.84831858, 0.13222",Western Mediterranean,"https://archive.ph/3o9FB, https://archive.ph/ocQXh",Uncategorized,3
2023.MMP0190,2023.MMP0190,Europe,"Sun, 03/26/2023 - 12:00",2023,March,1,,1,,,,,Unknown,"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Unspecified location near the Polish border in Berestovitsky district, Belarus",Belarus Investigative Committee,"53.34367742, 23.782851",Belarus-EU border,https://archive.ph/oqhCl,Eastern Europe,5
2023.MMP0191,2023.MMP0191231,North America,"Thu, 03/30/2023 - 12:00",2023,March,2,,2,,1,1,,Europe,Drowning,Romania,"Remains recovered from multiple points in St. Lawrence River near Akwesasne, New York, USA after departure from Cornwall Island, Ontario, Canada","Mohawk Council of Akwesasne, CBC, Toronto Star","44.99574468, -74.679029",,"https://archive.ph/jLuhF, https://archive.ph/SHOVP, https://archive.ph/6MaML, https://archive.ph/btZ8G",Northern America,5
2023.MMP0191,2023.MMP0191232,North America,"Thu, 03/30/2023 - 12:00",2023,March,4,,4,,2,2,,Southern Asia,Drowning,India,"Remains recovered from multiple points in St. Lawrence River near Akwesasne, New York, USA after departure from Cornwall Island, Ontario, Canada","Mohawk Council of Akwesasne, CBC, Toronto Star","44.99574468, -74.679029",,"https://archive.ph/jLuhF, https://archive.ph/SHOVP, https://archive.ph/6MaML, https://archive.ph/btZ8G",Northern America,5
2023.MMP0191,2023.MMP0191233,North America,"Thu, 03/30/2023 - 12:00",2023,March,2,,2,,,,2,Northern America,Drowning,Canada,"Remains recovered from multiple points in St. Lawrence River near Akwesasne, New York, USA after departure from Cornwall Island, Ontario, Canada","Mohawk Council of Akwesasne, CBC, Toronto Star","44.99574468, -74.679029",,"https://archive.ph/jLuhF, https://archive.ph/SHOVP, https://archive.ph/6MaML, https://archive.ph/btZ8G",Northern America,5
